ID,STATE_CODE,CITY,LAT,LONG,POP
4078859,AL,Mulga,33.54983,-86.97416,819
4078898,AL,Munford,33.52983,-85.9508,1259
4078964,AL,Muscle Shoals,34.74481,-87.66753,13706
4079016,AL,Myrtlewood,32.25042,-87.94974,124
4079053,AL,Nanafalia,32.11293,-87.98807,94
4079067,AL,Nances Creek,33.85788,-85.65691,407
4079080,AL,Napier Field,31.31545,-85.4541,347
4079142,AL,Natural Bridge,34.09344,-87.60197,36
4079154,AL,Nauvoo,33.98955,-87.4889,213
4079226,AL,Nectar,33.95982,-86.63944,345
4079234,AL,Needham,31.98793,-88.33669,91
4079423,AL,New Brockton,31.38572,-85.92939,1159
4079630,AL,New Hope,34.53712,-86.39426,2800
4079916,AL,New Market,34.91003,-86.42779,1597
4080080,AL,New Site,33.03734,-85.77413,755
4080144,AL,Newbern,32.59319,-87.53278,179
4080193,AL,Newton,31.33517,-85.60521,1472
4080208,AL,Newville,31.42184,-85.33771,520
4080395,AL,North Bibb,33.20401,-87.15305,1013
4080417,AL,North Courtland,34.67231,-87.32974,632
4080476,AL,North Johns,33.36733,-87.10361,142
4080555,AL,Northport,33.22901,-87.57723,24772
4080646,AL,Notasulga,32.56069,-85.67245,856
4080754,AL,Oak Grove,33.19178,-86.29942,517
4081047,AL,Oak Hill,31.92186,-87.08349,25
4081082,AL,Oakman,33.71344,-87.38862,760
4081166,AL,Odenville,33.67732,-86.39665,3695
4081197,AL,Ohatchee,33.78343,-86.00247,1146
4081643,AL,Onycha,31.21406,-86.28328,185
4081644,AL,Opelika,32.64541,-85.37828,29527
4081671,AL,Oneonta,33.94815,-86.47276,6615
4081683,AL,Opp,31.28267,-86.25551,6658
4081696,AL,Orange Beach,30.29437,-87.57359,5850
4081740,AL,Orrville,32.30625,-87.24555,190
4081816,AL,Our Town,32.82818,-85.96191,641
4081904,AL,Owens Cross Roads,34.58815,-86.45888,1785
4081914,AL,Oxford,33.61427,-85.83496,21249
4081936,AL,Ozark,31.45906,-85.64049,14719
4081981,AL,Paint Rock,34.66064,-86.32887,207
4082061,AL,Panola,32.95068,-88.26892,144
4082250,AL,Parrish,33.73066,-87.28445,963
4082569,AL,Pelham,33.28567,-86.80999,22885
4082589,AL,Pell City,33.58621,-86.28609,13646
4082633,AL,Pennington,32.20709,-88.05613,210
4082665,AL,Penton,33.00651,-85.46551,201
4082688,AL,Perdido Beach,30.34076,-87.50498,581
4082804,AL,Peterman,31.5846,-87.25943,89
4082833,AL,Petrey,31.84876,-86.20774,59
4082866,AL,Phenix City,32.47098,-85.00077,37570
4082869,AL,Phil Campbell,34.35093,-87.70642,1235
4082983,AL,Pickensville,33.22734,-88.26642,581
4083004,AL,Piedmont,33.92455,-85.61135,4714
4083073,AL,Pike Road,32.28431,-86.10302,8274
4083181,AL,Pinckard,31.31156,-85.55299,634
4083190,AL,Pine Apple,31.87342,-86.98922,126
4083370,AL,Pine Hill,31.97959,-87.58806,919
4083414,AL,Pine Level,32.58374,-86.46553,4183
4083461,AL,Pine Ridge,34.43953,-85.78441,283
4083697,AL,Pinson,33.68899,-86.68332,7438
4083725,AL,Pisgah,34.68092,-85.84775,711
4083727,AL,Pisgah,31.99682,-86.11829,697
4083844,AL,Pleasant Grove,34.94369,-85.92165,447
4083846,AL,Pleasant Grove,33.49094,-86.97027,10260
4084324,AL,Point Clear,30.47408,-87.91916,2125
4084382,AL,Pollard,31.02713,-87.17358,135
4084691,AL,Powell,34.53183,-85.89455,957
4084796,AL,Prattville,32.46402,-86.4597,35420
4084883,AL,Priceville,34.52509,-86.89473,3179
4084888,AL,Prichard,30.7388,-88.07889,22351
4085003,AL,Providence,32.34181,-87.78057,214
4085190,AL,Putnam,32.02265,-88.0314,193
4085311,AL,Ragland,33.74454,-86.15581,1682
4085336,AL,Rainbow City,33.95482,-86.04192,9580
4085373,AL,Rainsville,34.49425,-85.84775,5031
4085416,AL,Ranburne,33.52289,-85.34467,409
4085474,AL,Ray,32.88735,-86.03774,443
4085521,AL,Red Bay,34.43982,-88.14087,3131
4085582,AL,Red Level,31.40711,-86.61219,490
4085659,AL,Reece City,34.07232,-86.03331,632
4085711,AL,Reeltown,32.60374,-85.80524,766
4085739,AL,Reform,33.37845,-88.0153,1632
4085771,AL,Rehobeth,31.12296,-85.45271,1449
4085852,AL,Repton,31.40906,-87.23915,272
4086082,AL,Ridgeville,34.05565,-86.1022,105
4086224,AL,Riverside,33.60621,-86.20442,2300
4086254,AL,Riverview,31.06046,-87.05997,182
4086255,AL,Riverview,33.21984,-87.52834,97
4086277,AL,River Falls,31.35327,-86.54102,527
4086285,AL,Roanoke,33.15123,-85.37217,6005
4086363,AL,Robertsdale,30.5538,-87.71193,5894
4086500,AL,Rock Creek,33.47705,-87.08027,1456
4086552,AL,Rock Mills,33.15984,-85.28745,600
4086637,AL,Rockford,32.88957,-86.21969,449
4086661,AL,Rockville,31.42017,-87.8425,43
4086921,AL,Rogersville,34.82578,-87.29676,1231
4087004,AL,Rosa,33.99065,-86.51332,319
4087313,AL,Russellville,34.50787,-87.72864,9847
4087350,AL,Rutledge,31.73043,-86.30968,459
4087519,AL,St. Florian,34.87342,-87.62336,464
4088087,AL,Saint Stephens,31.5398,-88.05463,495
4088146,AL,Saks,33.69871,-85.83969,10744
4088360,AL,Samson,31.11295,-86.04605,1928
4088458,AL,Sand Rock,34.24287,-85.76858,558
4088594,AL,Sanford,31.29823,-86.38912,247
4088628,AL,Saraland,30.82074,-88.07056,13906
4088704,AL,Sardis City,34.17426,-86.12275,1755
4088737,AL,Satsuma,30.85324,-88.05611,6182
4088916,AL,Scottsboro,34.67231,-86.03415,14722
4089040,AL,Section,34.57897,-85.98664,759
4089114,AL,Selma,32.40736,-87.0211,19519
4089148,AL,Semmes,30.77824,-88.25917,3886
4089536,AL,Sheffield,34.76509,-87.69864,9108
4089549,AL,Shelby,33.1104,-86.58415,1044
4089709,AL,Shiloh,34.46259,-85.87969,275
4089710,AL,Shiloh,34.83508,-85.6033,266
4090008,AL,Shorter,32.39486,-85.9169,429
4090084,AL,Silas,31.76543,-88.32918,432
4090139,AL,Silverhill,30.54547,-87.75166,761
